"appointment_id","office_id","property_id","appointment_type","status","notes"
57,6,20,"Viewing","Scheduled","Reviewed rental screening requirements"
58,4,41,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
59,5,15,"Consultation","Completed","General consultation for prospective clients"
60,6,14,"Viewing","Completed","Reviewed rental screening requirements"
61,6,6,"Viewing","Completed","Reviewed rental screening requirements"
62,5,9,"Consultation","Scheduled","Reviewed rental screening requirements"
63,5,13,"Follow-up","Completed","General consultation for prospective clients"
64,2,73,"Viewing","Scheduled","Discussed pricing expectations and market conditions"
65,2,84,"Follow-up","Completed","Discussed pricing expectations and market conditions"
66,5,15,"Viewing","Completed","Discussed pricing expectations and market conditions"
67,2,73,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
68,3,55,"Consultation","Scheduled","General consultation for prospective clients"
69,2,88,"Consultation","Completed","Discussed pricing expectations and market conditions"
70,1,75,"Consultation","Scheduled","General consultation for prospective clients"
71,1,68,"Viewing","Completed","General consultation for prospective clients"
72,4,39,"Follow-up","Completed","Covered financing readiness and next steps"
73,4,41,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
74,4,42,"Viewing","Cancelled","Discussed pricing expectations and market conditions"
75,4,39,"Follow-up","Completed","Discussed pricing expectations and market conditions"
76,5,11,"Consultation","Completed","Reviewed rental screening requirements"
77,5,14,"Viewing","Cancelled","Covered financing readiness and next steps"
78,2,73,"Consultation","Completed","Reviewed rental screening requirements"
79,6,28,"Viewing","Scheduled","General consultation for prospective clients"
80,5,11,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
81,6,25,"Viewing","Scheduled","Walk-through focused on layout and neighborhood fit"
82,6,25,"Consultation","Completed","Reviewed rental screening requirements"
83,3,46,"Consultation","Completed","Discussed pricing expectations and market conditions"
84,5,15,"Follow-up","Completed","General consultation for prospective clients"
85,6,12,"Viewing","Completed","Discussed pricing expectations and market conditions"
86,3,55,"Follow-up","Scheduled","General consultation for prospective clients"
87,1,68,"Consultation","Cancelled","Discussed pricing expectations and market conditions"
88,5,9,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
89,6,6,"Follow-up","Completed","Reviewed rental screening requirements"
90,2,84,"Viewing","Completed","Reviewed rental screening requirements"
91,6,23,"Viewing","Completed","Covered financing readiness and next steps"
92,5,12,"Consultation","Completed","Covered financing readiness and next steps"
93,1,68,"Viewing","Cancelled","General consultation for prospective clients"
94,2,71,"Viewing","Scheduled","Covered financing readiness and next steps"
95,3,55,"Viewing","Completed","Discussed pricing expectations and market conditions"
96,6,23,"Consultation","Completed","Reviewed rental screening requirements"
97,3,46,"Viewing","Scheduled","Reviewed rental screening requirements"
98,6,20,"Follow-up","Scheduled","Covered financing readiness and next steps"
99,3,53,"Consultation","Completed","General consultation for prospective clients"
100,5,12,"Viewing","Scheduled","Covered financing readiness and next steps"
101,4,33,"Follow-up","Completed","Discussed pricing expectations and market conditions"
102,6,12,"Consultation","Cancelled","General consultation for prospective clients"
103,4,42,"Consultation","Completed","Reviewed rental screening requirements"
104,6,12,"Viewing","Cancelled","Covered financing readiness and next steps"
105,6,25,"Follow-up","Cancelled","Walk-through focused on layout and neighborhood fit"
106,6,23,"Consultation","Completed","Reviewed rental screening requirements"
107,4,42,"Consultation","Completed","Reviewed rental screening requirements"
108,6,27,"Viewing","Scheduled","Covered financing readiness and next steps"
109,2,90,"Consultation","Scheduled","General consultation for prospective clients"
110,2,76,"Follow-up","Completed","Discussed pricing expectations and market conditions"
111,5,9,"Viewing","Completed","Reviewed rental screening requirements"
112,5,17,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
113,3,56,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
114,5,17,"Consultation","Completed","Reviewed rental screening requirements"
115,3,56,"Consultation","Completed","Discussed pricing expectations and market conditions"
116,2,76,"Follow-up","Completed","Reviewed rental screening requirements"
117,3,57,"Follow-up","Completed","Covered financing readiness and next steps"
118,5,5,"Consultation","Completed","Covered financing readiness and next steps"
119,2,90,"Viewing","Scheduled","Discussed pricing expectations and market conditions"
120,2,81,"Viewing","Completed","General consultation for prospective clients"
121,5,9,"Consultation","Scheduled","Covered financing readiness and next steps"
122,6,12,"Viewing","Completed","Reviewed rental screening requirements"
123,3,36,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
124,5,17,"Consultation","Completed","Covered financing readiness and next steps"
125,2,74,"Follow-up","Completed","Discussed pricing expectations and market conditions"
126,2,83,"Follow-up","Completed","Discussed pricing expectations and market conditions"
127,5,16,"Follow-up","Completed","Reviewed rental screening requirements"
128,2,63,"Consultation","Cancelled","Reviewed rental screening requirements"
129,3,43,"Viewing","Completed","General consultation for prospective clients"
130,2,76,"Follow-up","Completed","Covered financing readiness and next steps"
131,6,12,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
132,6,5,"Viewing","Completed","Discussed pricing expectations and market conditions"
133,6,5,"Viewing","Completed","Reviewed rental screening requirements"
134,2,81,"Follow-up","Scheduled","Walk-through focused on layout and neighborhood fit"
135,3,43,"Viewing","Completed","Reviewed rental screening requirements"
136,6,5,"Consultation","Scheduled","General consultation for prospective clients"
137,2,83,"Follow-up","Completed","Covered financing readiness and next steps"
138,2,63,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
139,6,5,"Follow-up","Cancelled","Discussed pricing expectations and market conditions"
140,6,14,"Viewing","Scheduled","Walk-through focused on layout and neighborhood fit"
141,3,43,"Follow-up","Scheduled","Reviewed rental screening requirements"
142,2,90,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
143,5,5,"Follow-up","Completed","Reviewed rental screening requirements"
144,2,81,"Consultation","Cancelled","Reviewed rental screening requirements"
145,4,41,"Follow-up","Completed","General consultation for prospective clients"
146,6,12,"Follow-up","Completed","General consultation for prospective clients"
147,4,41,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
148,2,63,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
149,6,27,"Consultation","Scheduled","Covered financing readiness and next steps"
150,6,14,"Follow-up","Completed","Covered financing readiness and next steps"
151,1,83,"Viewing","Cancelled","Covered financing readiness and next steps"
152,1,66,"Viewing","Completed","Reviewed rental screening requirements"
153,5,15,"Viewing","Completed","Discussed pricing expectations and market conditions"
154,1,76,"Viewing","Scheduled","General consultation for prospective clients"
155,4,54,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
156,3,46,"Consultation","Completed","Discussed pricing expectations and market conditions"
157,5,9,"Follow-up","Scheduled","Covered financing readiness and next steps"
158,5,15,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
159,3,39,"Viewing","Completed","Discussed pricing expectations and market conditions"
160,6,11,"Viewing","Completed","General consultation for prospective clients"
161,6,12,"Follow-up","Completed","Covered financing readiness and next steps"
162,1,76,"Follow-up","Completed","General consultation for prospective clients"
163,4,59,"Viewing","Completed","Discussed pricing expectations and market conditions"
164,5,9,"Viewing","Scheduled","Walk-through focused on layout and neighborhood fit"
165,2,89,"Viewing","Completed","Reviewed rental screening requirements"
166,3,55,"Follow-up","Completed","Reviewed rental screening requirements"
167,1,66,"Consultation","Completed","Reviewed rental screening requirements"
168,2,72,"Consultation","Completed","Covered financing readiness and next steps"
169,1,83,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
170,3,46,"Follow-up","Scheduled","Covered financing readiness and next steps"
171,5,8,"Follow-up","Completed","Reviewed rental screening requirements"
172,4,57,"Consultation","Completed","Discussed pricing expectations and market conditions"
173,5,6,"Follow-up","Scheduled","Discussed pricing expectations and market conditions"
174,3,46,"Follow-up","Completed","General consultation for prospective clients"
175,1,83,"Consultation","Completed","Reviewed rental screening requirements"
176,5,6,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
177,4,38,"Consultation","Completed","Covered financing readiness and next steps"
178,3,43,"Viewing","Completed","Covered financing readiness and next steps"
179,5,3,"Follow-up","Scheduled","General consultation for prospective clients"
180,6,11,"Viewing","Completed","Discussed pricing expectations and market conditions"
181,3,46,"Viewing","Scheduled","Discussed pricing expectations and market conditions"
182,4,33,"Follow-up","Completed","General consultation for prospective clients"
183,4,38,"Consultation","Cancelled","Reviewed rental screening requirements"
184,3,43,"Viewing","Completed","Covered financing readiness and next steps"
185,3,46,"Consultation","Completed","Reviewed rental screening requirements"
186,1,66,"Viewing","Cancelled","General consultation for prospective clients"
187,4,57,"Viewing","Completed","Discussed pricing expectations and market conditions"
188,3,35,"Viewing","Cancelled","Covered financing readiness and next steps"
189,4,38,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
190,5,8,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
191,3,60,"Follow-up","Completed","Reviewed rental screening requirements"
192,3,39,"Viewing","Completed","Reviewed rental screening requirements"
193,5,3,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
194,4,33,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
195,2,89,"Follow-up","Cancelled","General consultation for prospective clients"
196,6,10,"Follow-up","Cancelled","Walk-through focused on layout and neighborhood fit"
197,2,89,"Follow-up","Completed","Discussed pricing expectations and market conditions"
198,3,60,"Viewing","Completed","Reviewed rental screening requirements"
199,5,19,"Consultation","Completed","Discussed pricing expectations and market conditions"
200,3,55,"Follow-up","Completed","General consultation for prospective clients"
201,4,33,"Consultation","Completed","Reviewed rental screening requirements"
202,3,35,"Consultation","Completed","General consultation for prospective clients"
203,4,32,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
204,3,60,"Follow-up","Scheduled","Walk-through focused on layout and neighborhood fit"
205,3,60,"Consultation","Cancelled","Covered financing readiness and next steps"
206,6,14,"Follow-up","Scheduled","Discussed pricing expectations and market conditions"
207,1,86,"Follow-up","Scheduled","Reviewed rental screening requirements"
208,6,11,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
209,3,46,"Viewing","Scheduled","General consultation for prospective clients"
210,5,19,"Consultation","Cancelled","Covered financing readiness and next steps"
211,3,35,"Follow-up","Completed","Covered financing readiness and next steps"
212,5,15,"Follow-up","Scheduled","Covered financing readiness and next steps"
213,4,32,"Consultation","Completed","Covered financing readiness and next steps"
214,5,19,"Consultation","Completed","Covered financing readiness and next steps"
215,3,39,"Follow-up","Cancelled","Reviewed rental screening requirements"
216,4,54,"Follow-up","Completed","Covered financing readiness and next steps"
217,6,10,"Consultation","Completed","Discussed pricing expectations and market conditions"
218,1,86,"Follow-up","Scheduled","General consultation for prospective clients"
219,1,89,"Consultation","Completed","General consultation for prospective clients"
220,5,17,"Consultation","Completed","Covered financing readiness and next steps"
221,4,59,"Follow-up","Completed","General consultation for prospective clients"
222,4,59,"Follow-up","Scheduled","General consultation for prospective clients"
223,3,35,"Follow-up","Completed","General consultation for prospective clients"
224,5,12,"Consultation","Completed","Covered financing readiness and next steps"
225,2,71,"Consultation","Completed","Reviewed rental screening requirements"
226,3,42,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
227,3,42,"Follow-up","Scheduled","Reviewed rental screening requirements"
228,2,81,"Follow-up","Completed","Reviewed rental screening requirements"
229,4,56,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
230,5,26,"Consultation","Scheduled","General consultation for prospective clients"
231,6,29,"Viewing","Completed","Covered financing readiness and next steps"
232,5,4,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
233,3,57,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
234,6,25,"Viewing","Scheduled","Walk-through focused on layout and neighborhood fit"
235,5,21,"Viewing","Scheduled","General consultation for prospective clients"
236,4,36,"Viewing","Completed","Reviewed rental screening requirements"
237,3,44,"Follow-up","Scheduled","Covered financing readiness and next steps"
238,3,44,"Viewing","Scheduled","Covered financing readiness and next steps"
239,6,25,"Viewing","Scheduled","General consultation for prospective clients"
240,3,31,"Follow-up","Scheduled","Discussed pricing expectations and market conditions"
241,1,86,"Viewing","Scheduled","General consultation for prospective clients"
242,1,70,"Follow-up","Cancelled","Walk-through focused on layout and neighborhood fit"
243,4,44,"Consultation","Completed","General consultation for prospective clients"
244,3,54,"Follow-up","Scheduled","Discussed pricing expectations and market conditions"
245,5,21,"Consultation","Completed","General consultation for prospective clients"
246,6,27,"Follow-up","Cancelled","Walk-through focused on layout and neighborhood fit"
247,1,89,"Follow-up","Cancelled","General consultation for prospective clients"
248,4,56,"Follow-up","Scheduled","Discussed pricing expectations and market conditions"
249,4,44,"Viewing","Completed","Covered financing readiness and next steps"
250,3,54,"Follow-up","Completed","Covered financing readiness and next steps"
251,6,29,"Follow-up","Completed","Discussed pricing expectations and market conditions"
252,1,89,"Consultation","Scheduled","General consultation for prospective clients"
253,2,63,"Follow-up","Cancelled","Covered financing readiness and next steps"
254,6,6,"Viewing","Completed","Discussed pricing expectations and market conditions"
255,2,81,"Follow-up","Completed","Reviewed rental screening requirements"
256,1,70,"Viewing","Scheduled","General consultation for prospective clients"
257,5,12,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
258,1,86,"Follow-up","Scheduled","General consultation for prospective clients"
259,6,6,"Follow-up","Completed","Covered financing readiness and next steps"
260,1,83,"Consultation","Completed","General consultation for prospective clients"
261,6,25,"Consultation","Completed","Covered financing readiness and next steps"
262,4,36,"Viewing","Scheduled","General consultation for prospective clients"
263,3,35,"Viewing","Cancelled","Discussed pricing expectations and market conditions"
264,3,31,"Viewing","Completed","Discussed pricing expectations and market conditions"
265,5,26,"Follow-up","Scheduled","General consultation for prospective clients"
266,4,44,"Viewing","Scheduled","Reviewed rental screening requirements"
267,3,35,"Consultation","Completed","Covered financing readiness and next steps"
268,3,44,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
269,6,29,"Follow-up","Completed","Discussed pricing expectations and market conditions"
270,6,15,"Consultation","Completed","Discussed pricing expectations and market conditions"
271,5,4,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
272,3,57,"Follow-up","Scheduled","Discussed pricing expectations and market conditions"
273,5,26,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
274,3,57,"Viewing","Completed","Covered financing readiness and next steps"
275,4,36,"Follow-up","Completed","General consultation for prospective clients"
276,5,17,"Viewing","Cancelled","Reviewed rental screening requirements"
277,4,47,"Consultation","Scheduled","Discussed pricing expectations and market conditions"
278,1,86,"Follow-up","Completed","Reviewed rental screening requirements"
279,4,56,"Follow-up","Cancelled","Covered financing readiness and next steps"
280,6,27,"Viewing","Completed","Walk-through focused on layout and neighborhood fit"
281,4,44,"Consultation","Completed","Reviewed rental screening requirements"
282,1,86,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
283,5,12,"Viewing","Completed","Covered financing readiness and next steps"
284,5,21,"Consultation","Cancelled","Walk-through focused on layout and neighborhood fit"
285,3,43,"Consultation","Completed","General consultation for prospective clients"
286,2,90,"Follow-up","Completed","Covered financing readiness and next steps"
287,2,72,"Viewing","Completed","Covered financing readiness and next steps"
288,4,36,"Consultation","Scheduled","Covered financing readiness and next steps"
289,3,31,"Follow-up","Completed","Covered financing readiness and next steps"
290,1,70,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
291,4,39,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
292,1,75,"Follow-up","Cancelled","Covered financing readiness and next steps"
293,2,88,"Viewing","Completed","Covered financing readiness and next steps"
294,6,15,"Consultation","Cancelled","Walk-through focused on layout and neighborhood fit"
295,2,83,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
296,1,66,"Viewing","Completed","Reviewed rental screening requirements"
297,1,80,"Consultation","Scheduled","Covered financing readiness and next steps"
298,2,88,"Follow-up","Completed","Covered financing readiness and next steps"
299,3,43,"Follow-up","Scheduled","Reviewed rental screening requirements"
300,4,38,"Follow-up","Completed","Discussed pricing expectations and market conditions"
301,6,9,"Consultation","Completed","Reviewed rental screening requirements"
302,1,70,"Follow-up","Completed","Covered financing readiness and next steps"
303,2,64,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
304,2,86,"Consultation","Completed","Discussed pricing expectations and market conditions"
305,6,12,"Follow-up","Cancelled","General consultation for prospective clients"
306,6,15,"Viewing","Completed","Covered financing readiness and next steps"
307,3,51,"Follow-up","Completed","General consultation for prospective clients"
308,4,38,"Consultation","Completed","Reviewed rental screening requirements"
309,6,12,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
310,3,31,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
311,6,12,"Follow-up","Completed","Discussed pricing expectations and market conditions"
312,1,61,"Viewing","Completed","General consultation for prospective clients"
313,4,41,"Viewing","Completed","General consultation for prospective clients"
314,3,55,"Follow-up","Completed","Reviewed rental screening requirements"
315,6,9,"Consultation","Completed","Walk-through focused on layout and neighborhood fit"
316,2,88,"Viewing","Completed","Covered financing readiness and next steps"
317,1,75,"Follow-up","Cancelled","General consultation for prospective clients"
318,3,43,"Consultation","Scheduled","Reviewed rental screening requirements"
319,6,15,"Viewing","Cancelled","Walk-through focused on layout and neighborhood fit"
320,6,8,"Viewing","Scheduled","Covered financing readiness and next steps"
321,4,41,"Follow-up","Completed","Covered financing readiness and next steps"
322,1,75,"Viewing","Scheduled","Covered financing readiness and next steps"
323,2,88,"Follow-up","Completed","Covered financing readiness and next steps"
324,2,79,"Consultation","Cancelled","Discussed pricing expectations and market conditions"
325,2,72,"Consultation","Completed","Reviewed rental screening requirements"
326,5,5,"Consultation","Completed","Reviewed rental screening requirements"
327,2,84,"Follow-up","Completed","Covered financing readiness and next steps"
328,6,12,"Consultation","Cancelled","General consultation for prospective clients"
329,1,70,"Consultation","Completed","General consultation for prospective clients"
330,1,80,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
331,6,16,"Viewing","Completed","Reviewed rental screening requirements"
332,3,55,"Follow-up","Completed","Walk-through focused on layout and neighborhood fit"
333,1,80,"Viewing","Completed","Covered financing readiness and next steps"
334,3,40,"Viewing","Completed","Discussed pricing expectations and market conditions"
335,2,72,"Follow-up","Completed","General consultation for prospective clients"
336,3,42,"Consultation","Completed","Discussed pricing expectations and market conditions"
337,2,79,"Follow-up","Completed","Reviewed rental screening requirements"
338,2,86,"Viewing","Completed","Discussed pricing expectations and market conditions"
339,3,60,"Viewing","Scheduled","General consultation for prospective clients"
340,2,86,"Viewing","Scheduled","Discussed pricing expectations and market conditions"
341,6,9,"Consultation","Completed","Covered financing readiness and next steps"
342,1,80,"Follow-up","Cancelled","Reviewed rental screening requirements"
343,6,12,"Viewing","Completed","Reviewed rental screening requirements"
344,3,51,"Consultation","Scheduled","General consultation for prospective clients"
345,2,72,"Viewing","Scheduled","General consultation for prospective clients"
346,3,60,"Consultation","Completed","Covered financing readiness and next steps"
